文章,タグ
現場運用を考えると、この操作フローはもう少し簡略化できませんか。,REQ
想定している利用ユーザー数が増えた場合の性能試験は実施済みでしょうか。,QST
CSV出力時に文字化けが発生していますが原因を調査いただけますか。,BUG
マスターデータの更新履歴を後から追えるようにしたいです。,REQ
権限ごとに閲覧可能な項目をさらに細かく制御できませんか。,REQ
本番環境へのリリース手順をドキュメント化して共有いただけますか。,TSK
入力エラー時のメッセージが少し分かりづらいので改善したいです。,BUG
既存システムとのデータ連携タイミングを再確認させてください。,QST
スマートフォン表示時にレイアウトが崩れる箇所があります。,BUG
帳票のレイアウトを自社フォーマットに合わせて調整可能でしょうか。,REQ
処理速度が想定より遅いように感じますが原因は何でしょうか。,IMP
管理者向けに操作ログを確認できる画面を追加できますか。,REQ
テスト環境と本番環境で挙動が異なるように見えます。,IMP
将来的な機能追加を見据えた設計になっているか確認したいです。,REQ
API連携時のエラーハンドリング仕様を詳しく教えてください。,QST
パスワードポリシーを社内規定に合わせて変更できますか。,REQ
データバックアップの取得頻度と保存期間を教えてください。,QST
この機能は初回リリースに必須でしょうか、優先度を再検討したいです。,INF
運用マニュアルをもう少し具体的な手順レベルで記載いただけますか。,IMP
通知メールの文面を当社向けにカスタマイズ可能でしょうか。,REQ
想定外のエラー発生時の連絡フローを整理したいです。,BUG
月次集計処理の実行時間帯は変更できますか。,REQ
既存データの移行作業スケジュールを詳細に提示してください。,TSK
UIデザインが当社ブランドガイドラインに沿っているか確認したいです。,IMP
同時ログイン数の上限はどの程度を想定していますか。,QST
将来的にクラウド環境へ移行する前提で問題ありませんか。,IMP
操作ミス防止のため確認ダイアログを追加できませんか。,REQ
特定条件下でのみ表示される項目の仕様を再説明いただけますか。,IMP
外部監査に提出するためセキュリティ対策資料が必要です。,IMP
データ削除時に完全削除か論理削除かを選択できますか。,REQ
アクセス集中時の負荷分散対策はどのようになっていますか。,IMP
SLAの範囲と障害時の対応時間を明確にしてください。,TSK
利用部門から追加要望が出ていますが影響範囲を確認したいです。,REQ
バージョンアップ時のダウンタイムはどの程度発生しますか。,QST
管理画面の項目名を現場用語に変更できますか。,REQ
検索条件を保存して再利用できるようにしたいです。,REQ
画面遷移が多いため一覧画面で完結できませんか。,REQ
テストケースの網羅性について説明をお願いします。,TSK
障害発生時のログ提供方法を事前に決めておきたいです。,BUG
この仕様変更は追加費用が発生する認識で合っていますか。,QST
承認フローを部署ごとに分岐させることは可能でしょうか。,IMP
多言語対応の計画は現時点でどこまで進んでいますか。,REQ
法改正に伴う仕様変更への対応方針を教えてください。,QST
利用マニュアルの動画版を提供いただくことは可能ですか。,REQ
データ保持期間終了後の削除処理は自動化されていますか。,IMP
現場から操作が直感的でないとの声が上がっています。,IMP
開発スケジュールに遅延リスクはありませんか。,IMP
画面の表示項目をユーザーごとにカスタマイズできますか。,REQ
APIのレスポンス仕様をサンプル付きで提示いただけますか。,IMP
今後の保守体制について具体的に説明してください。,TSK
毎回ログインし直すのが正直ちょっと面倒です。,IMP
どこを押せばいいのか分かりづらい画面があります。,IMP
入力項目が多すぎて登録に時間がかかります。,IMP
一覧画面で横スクロールが多くて見づらいです。,IMP
よく使う機能をトップに置けませんか。,IMP
検索しても欲しいデータがなかなか見つかりません。,IMP
エラーが出ても何を直せばいいのか分かりません。,BUG
前回入力した内容をコピーできるようにしてほしいです。,REQ
スマホからだと操作しづらいと感じます。,IMP
入力途中でタイムアウトするのは困ります。,IMP
印刷するとレイアウトが崩れてしまいます。,BUG
承認がどこで止まっているのか分かりません。,BUG
通知メールが多すぎて重要なものが埋もれます。,IMP
画面の文字が小さくて見づらいです。,IMP
必須項目がどれかもっと分かりやすくしてほしいです。,REQ
同じ情報を何度も入力している気がします。,IMP
データを間違えて消してしまった時に戻せますか。,IMP
操作方法を聞かれることが多いので簡単なマニュアルがほしいです。,REQ
検索条件を毎回設定し直すのが手間です。,IMP
月末は処理が重くて動きが遅い気がします。,IMP
入力途中で他の画面を見ると内容が消えてしまいます。,BUG
承認依頼を出した相手にちゃんと届いているか不安です。,IMP
CSVで出力したデータの並び順を変えられますか。,IMP
電話対応しながらだと操作が追いつきません。,REQ
ショートカットキーは使えますか。,IMP
登録したデータを一覧で一気に修正したいです。,IMP
画面の色使いが似ていて区別しづらいです。,IMP
前にどのデータを更新したか履歴が見たいです。,IMP
操作ミスを防ぐ確認メッセージがほしいです。,REQ
よく使う検索条件を保存できませんか。,REQ
数字入力のときに自動でカンマを入れてほしいです。,REQ
スマホで写真をそのまま添付できると助かります。,FBK
エラーが出ると作業が止まってしまいます。,BUG
部署ごとに表示項目を変えられませんか。,IMP
一覧から直接編集できると便利です。,FBK
データ登録後に内容確認の画面がほしいです。,REQ
同時に複数の案件を開けるようにしてほしいです。,REQ
更新ボタンが分かりづらい場所にあります。,IMP
日付入力をカレンダーから選べるようにしてほしいです。,REQ
作業が終わった案件は自動で非表示にできませんか。,REQ
誤って二重登録してしまうことがあります。,IMP
検索結果をエクセルにそのまま貼り付けたいです。,IMP
パスワード変更が頻繁すぎて覚えられません。,IMP
入力ミスが多い項目に補足説明を付けてほしいです。,REQ
承認済みかどうか一目で分かる表示にしてほしいです。,REQ
画面が切り替わるたびに少し待ち時間があります。,IMP
月初はアクセスが集中して重く感じます。,IMP
担当者ごとの処理件数を見られると助かります。,FBK
電話番号や住所を自動入力できませんか。,REQ
もっと直感的に操作できる画面にしてほしいです。,REQ
入力途中で保存できるようにしてほしいです。,REQ
一覧の並び順を自分で変更したいです。,IMP
承認期限が近いものを目立たせてほしいです。,REQ
過去データをもう少し簡単に検索したいです。,IMP
部署内で共有メモを書き込めると便利です。,FBK
どのデータが未処理か分かりづらいです。,IMP
入力チェックをもう少し厳しくしてほしいです。,REQ
作業完了時にポップアップで知らせてほしいです。,REQ
操作手順を画面上に表示できませんか。,REQ
画面を開くまでに時間がかかることがあります。,IMP
毎回同じフォルダを選ぶのが面倒です。,IMP
添付ファイルの容量制限を緩和できませんか。,REQ
画面上部にパンくずリストがほしいです。,REQ
ログイン状態をもう少し長く保てませんか。,IMP
よく使う取引先をお気に入り登録したいです。,IMP
入力内容を自動保存してほしいです。,REQ
同じ部署内でデータを引き継げるようにしたいです。,REQ
申請状況を一覧でまとめて見たいです。,INF
期限切れのデータを自動で通知してほしいです。,REQ
操作中にヘルプをすぐ開けると助かります。,FBK
承認ルートを確認できる画面がほしいです。,REQ
金額入力時に自動計算してほしいです。,REQ
エラーの原因をもう少し詳しく表示してほしいです。,BUG
前回と同じ内容なら複製できるようにしたいです。,REQ
入力必須の理由も表示してほしいです。,REQ
メニューが多くて目的の機能が探しづらいです。,IMP
スマホでもパソコンと同じ機能が使えますか。,IMP
作業履歴を自分だけで確認できるようにしたいです。,REQ
画面を開きっぱなしにするとログアウトされます。,IMP
利用者向けの簡単なFAQを用意してほしいです。,REQ
申請後に内容を修正できるようにしてほしいです。,REQ
月次データをワンクリックで出力できませんか。,REQ
検索結果が多すぎると表示に時間がかかります。,IMP
重要なボタンをもっと目立たせてほしいです。,REQ
入力項目を部署別に非表示にできませんか。,REQ
更新後にどこが変わったか分かりづらいです。,IMP
画面を閉じると警告を出してほしいです。,REQ
誤操作を取り消す機能がほしいです。,REQ
よくある質問を画面横に表示できませんか。,REQ
同じ作業を一括で処理したいです。,REQ
データを日付順で固定表示したいです。,IMP
通知のオンオフを自分で設定したいです。,IMP
入力形式の例をあらかじめ表示してほしいです。,REQ
操作説明の動画リンクを載せてほしいです。,REQ
一覧にサムネイル表示があると助かります。,FBK
操作中に固まることが時々あります。,IMP
画面間の移動が少し分かりづらいです。,IMP
他の人が更新中かどうか分かるようにしたいです。,IMP
申請件数をダッシュボードで見たいです。,IMP
全体的にもう少し分かりやすくしてほしいです。,REQ
作業中は手袋をしているので、タッチパネルのボタンをもっと大きくしてほしいです。,REQ
現場は騒音が大きいため、エラー発生時は音だけでなく画面表示でもはっきり知らせてほしいです。,BUG
生産実績を入力するたびに画面が切り替わるのは作業効率が落ちます。,IMP
ライン停止時の理由入力を選択式にして、入力時間を短縮できませんか。,REQ
品番を毎回手入力しているので、バーコード読み取りに対応してほしいです。,REQ
現場の端末が古く、動作が重いので軽い画面設計にしてほしいです。,REQ
夜勤帯でもトラブル時に参照できる簡易マニュアルを画面に表示してほしいです。,REQ
同じ品目を連続で登録する場合は自動で前回値を引き継いでほしいです。,REQ
不良登録時に写真をその場で添付できるようにしてほしいです。,REQ
作業者ごとの実績を後から確認できる画面がほしいです。,REQ
入力忘れがあると後工程に影響するので、その場で警告を出してほしいです。,REQ
材料ロット番号を入力すると関連情報が自動表示されると助かります。,FBK
生産計画と実績の差異を一目で確認できる画面がほしいです。,REQ
タブレットでも片手操作しやすい画面構成にしてほしいです。,REQ
入力途中で通信が切れるとデータが消えるのは困ります。,BUG
作業指示書を紙でなく画面上で確認できるようにしてほしいです。,REQ
現場用語に合わせた表示名称に変更してほしいです。,REQ
複数ラインの状況を一画面で一覧できると助かります。,FBK
異常停止時の記録入力をもっと簡単にしてほしいです。,REQ
日報作成を自動集計で作れるようにしてほしいです。,REQ
作業開始・終了の打刻をワンタッチでできるようにしたいです。,REQ
同じエラーが頻発している場合に集計表示できませんか。,BUG
設備メンテナンス履歴を現場で確認できると助かります。,FBK
画面の文字が小さいので離れた場所から見づらいです。,IMP
品質チェック結果をその場でグラフ表示できませんか。,REQ
工程ごとの進捗を色分けして表示してほしいです。,REQ
現場責任者だけが修正できる仕組みにしてほしいです。,REQ
月次報告資料をシステムから直接出力できるようにしてほしいです。,REQ
作業ミスが起きやすい項目に補足説明を表示してほしいです。,REQ
現場で使う前提で、もっとシンプルな画面構成にしてほしいです。,REQ
外出先からスマホで簡単に商談内容を登録できるようにしてほしいです。,REQ
顧客情報を開くまでに時間がかかるので改善してほしいです。,REQ
過去の商談履歴を時系列で見やすく表示してほしいです。,REQ
見積書をワンクリックで作成できるようにしてほしいです。,REQ
よく使う商品をお気に入り登録できると助かります。,FBK
日報入力が毎日負担になっているので簡略化できませんか。,REQ
受注確度をグラフで確認できるようにしてほしいです。,REQ
商談中にすぐ在庫状況を確認できると助かります。,FBK
顧客別の売上推移をすぐ見られるようにしてほしいです。,REQ
